Hurguada								
 27.15         33.717        14            2 								
								
 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
2199	1012	26.5	24	655	87	0	10.5	8
2200	1012	26.2	25	469	65	0	10.2	356
2201	1012	25.4	26	163	132	3	8.7	0
2202	1012	24.3	28	0	41	2	11.2	339
2203	1012	23.4	35	0	0	2	10.5	337
2204	1012	22.5	38	0	0	2	9	332
2205	1012	21.6	40	0	0	2	9.4	339
2206	1012	20.7	42	0	0	2	9	347
2207	1012	19.8	46	0	0	2	8.3	16
2208	1012	18.9	47	0	0	1	7.9	358
2209	1012	18.1	51	0	0	1	8.1	329
2210	1012	17.2	53	0	0	1	7.3	346
2211	1012	16.7	52	0	0	1	9	357
2212	1012	16.2	53	0	0	1	7.5	26
2213	1012	15.9	56	0	0	1	5.4	344
2214	1012	15.9	57	0	2	0	6	15
2215	1012	16.9	52	104	45	0	6.8	2
2216	1012	18.4	46	326	58	0	5.7	7
2217	1012	20	40	547	70	0	6.8	358
2218	1012	21.5	35	721	90	0	6.6	339
2219	1012	22.8	33	833	110	0	7.3	341
2220	1012	23.8	29	887	118	0	7.1	331
2221	1012	24.6	26	874	117	0	6.6	2
2222	1012	25	23	794	107	0	6.3	350
2223	1012	25.1	23	659	86	0	6.8	325
2224	1012	24.7	22	452	81	0	6.8	335
2225	1012	23.9	25	160	133	3	6.3	359
2226	1012	22.8	26	0	37	3	5.7	36
2227	1012	22	29	0	0	3	3.7	339
2228	1012	21.3	31	0	0	2	3.3	334
2229	1012	20.5	34	0	0	2	1.6	340
2230	1012	19.8	35	0	0	2	2.3	9
2231	1012	19	37	0	0	2	2.1	313
2232	1012	18.3	37	0	0	2	2	2
2233	1012	17.9	40	0	0	1	1.8	333
2234	1012	17.4	39	0	0	1	1.1	24
2235	1012	17.2	40	0	0	1	2.3	326
2236	1012	16.9	41	0	0	1	2.4	22
2237	1012	16.7	40	0	0	1	1.6	340
2238	1012	16.7	38	0	2	0	1.6	12
2239	1012	17.9	37	114	43	0	0.9	357
2240	1012	19.5	37	347	51	0	2.1	359
2241	1012	21.2	34	566	65	0	2.4	39
2242	1012	22.8	29	733	88	0	2.5	21
2243	1012	24.2	27	834	111	0	2.1	323
2244	1012	25.3	25	889	119	0	2.3	343
2245	1012	26.1	24	869	120	0	3.3	314
2246	1012	26.6	24	792	108	0	2.4	327
2247	1012	26.7	25	663	85	0	2.4	359
2248	1012	26.4	27	473	65	0	2.3	356
2249	1012	25.6	29	230	69	0	2.8	308
2250	1012	24.4	34	43	38	0	2.5	10
2251	1012	23.3	37	0	0	1	1.8	337
2252	1012	22.7	37	0	0	1	1.8	347
2253	1012	22.1	40	0	0	1	1.6	40
2254	1012	21.5	42	0	0	1	2.9	259
2255	1012	20.9	43	0	0	2	2.7	349
2256	1012	20.3	46	0	0	2	3.1	357
2257	1012	19.9	51	0	0	2	3.6	5
2258	1012	19.5	53	0	0	3	3.1	297
2259	1012	19.3	57	0	0	3	4.3	274
2260	1012	19.1	60	0	0	3	4.3	304
2261	1012	19	61	0	0	4	3.1	186
2262	1012	19	65	0	2	4	3.1	3
2263	1012	20.2	62	68	88	4	3.9	17
2264	1012	21.8	55	330	60	0	3.9	268
2265	1012	23.5	49	541	77	0	3.4	335
2266	1012	25.1	42	711	98	0	2.9	3
2267	1012	26.5	39	814	122	0	3.1	280
2268	1012	27.7	33	866	131	0	4	258
2269	1012	28.5	30	851	130	0	3.3	311
2270	1012	29	28	780	115	0	2.9	311
2271	1012	29.1	25	651	91	0	2.9	316
2272	1012	28.8	25	450	84	0	3.3	331
2273	1012	28	25	223	72	0	4.6	309
2274	1012	26.9	27	43	38	0	4	289
2275	1012	25.8	32	0	0	1	3.9	282
2276	1012	24.9	34	0	0	1	4	305
2277	1012	24	38	0	0	1	3.9	317
2278	1012	23.1	39	0	0	1	4	311
2279	1012	22.2	41	0	0	2	3.7	306
2280	1012	21.2	42	0	0	2	3.4	331
2281	1012	20.4	44	0	0	2	3.4	311
2282	1012	19.5	50	0	0	2	2.9	274
2283	1012	19	51	0	0	3	3.3	284
2284	1012	18.5	54	0	0	3	3.7	329
2285	1012	18.1	57	0	0	3	2.5	307
2286	1012	18.1	56	0	2	3	2.8	252
2287	1012	19	50	57	90	4	2.7	302
2288	1011	20.4	44	285	87	0	2.7	234
2289	1011	21.9	41	479	118	0	2.5	20
2290	1011	23.3	37	651	133	0	2.9	355
2291	1011	24.5	36	758	155	0	3.1	320
2292	1011	25.5	34	819	159	0	3.7	357
2293	1011	26.1	33	809	155	0	4	2
2294	1011	26.5	34	731	143	0	4.3	2
2295	1011	26.6	33	613	112	0	4.4	348
2296	1011	26.2	32	445	81	0	4.1	9
2297	1011	25.5	34	216	76	0	3.9	358
2298	1011	24.4	36	41	41	0	2.9	344
2299	1011	23.4	45	0	0	1	2.7	0
2300	1011	23	46	0	0	1	2.7	32
2301	1011	22.6	44	0	0	1	2.9	340
2302	1011	22.2	46	0	0	1	3.7	319
2303	1011	21.8	48	0	0	2	3.4	353
2304	1011	21.4	52	0	0	2	4	61
2305	1011	21.5	52	0	0	2	4	7
2306	1011	21.5	55	0	0	2	3.9	2
2307	1011	21.6	61	0	0	3	3.6	43
2308	1011	21.6	56	0	0	3	3.7	173
2309	1011	21.7	58	0	0	3	2.7	48
2310	1011	21.7	61	0	3	3	2.8	8
2311	1011	23	53	61	91	4	3.6	1
2312	1011	24.7	47	294	85	0	4.6	7
2313	1011	26.5	44	489	115	0	4.4	22
2314	1011	28.3	33	659	131	0	5.2	4
2315	1011	29.8	31	760	156	0	5.2	3
2316	1011	31	28	803	170	0	5	48
2317	1011	31.9	27	799	163	0	6.3	360
2318	1011	32.4	24	728	146	0	6.6	82
2319	1011	32.6	25	615	112	0	7.9	16
2320	1011	32.3	25	426	96	0	8.3	23
2321	1011	31.5	26	207	83	0	9	44
2322	1011	30.4	28	42	40	0	8.1	351
2323	1011	29.3	36	0	0	1	7.9	348
2324	1011	28.5	36	0	0	1	7.7	17
2325	1011	27.8	38	0	0	1	7.3	4
2326	1011	27	42	0	0	1	7.3	355
2327	1011	26.3	42	0	0	2	7.1	347
2328	1011	25.5	45	0	0	2	7.1	20
2329	1011	24.7	50	0	0	2	6.8	18
2330	1011	23.8	57	0	0	2	6.3	356
2331	1011	23.3	57	0	0	3	6	345
2332	1011	22.9	54	0	0	3	6.3	348
2333	1011	22.6	55	0	0	3	5.4	17
2334	1011	22.6	53	0	3	3	7.1	336
2335	1011	23.6	47	64	92	4	7.1	9
2336	1011	25	45	301	83	0	7.3	346
2337	1011	26.6	40	498	113	0	7.3	348
2338	1011	28	33	671	126	0	7.7	341
2339	1011	29.2	29	743	169	0	7.5	341
2340	1011	30.2	27	797	175	0	8.7	350
2341	1011	30.9	27	783	174	0	9	344
2342	1011	31.3	23	718	154	0	10.2	4
2343	1011	31.4	23	592	127	0	10.8	5
2344	1011	31	24	408	106	0	9.4	337
2345	1011	30.3	25	206	79	0	9.4	354
2346	1011	29.3	29	42	38	0	8.5	158
2347	1012	28.2	34	0	0	0	7.7	355
2348	1012	27.2	32	0	0	1	5.4	9
2349	1012	26.2	34	0	0	1	4.6	16
2350	1012	25.2	34	0	0	1	4.8	322
2351	1012	24.1	37	0	0	1	4.8	333
2352	1012	23.1	39	0	0	2	6	116
2353	1012	22.4	42	0	0	2	5.4	250
2354	1012	21.5	47	0	0	2	4.1	359
2355	1012	21.1	47	0	0	2	4	10
2356	1012	20.6	46	0	0	3	6	181
2357	1012	20.3	46	0	0	3	4.6	122
2358	1012	20.3	49	0	4	3	4.8	259
2359	1012	21.4	48	78	92	3	5	256
2360	1012	23	42	340	67	0	6.6	285
2361	1012	24.5	38	564	75	0	6.6	322
2362	1012	26	32	726	99	0	8.3	304
2363	1012	27.3	29	829	121	0	8.5	308
2364	1012	28.3	27	874	132	0	9.8	324
2365	1012	29	25	848	136	0	9.4	293
2366	1012	29.3	24	771	124	0	11.2	291
2367	1012	29.4	27	631	106	0	11.2	300
2368	1012	29	28	437	92	0	10.8	274
2369	1012	28.2	29	221	72	0	10.8	14
2370	1012	27.1	30	47	36	0	11.2	31
2371	1012	26	35	0	0	0	9.4	10
2372	1012	25.5	37	0	0	1	7.5	7
2373	1012	24.9	39	0	0	1	7.9	348
2374	1012	24.4	42	0	0	1	7.1	16
2375	1012	23.8	41	0	0	1	6	341
2376	1012	23.3	41	0	0	2	6.6	4
2377	1012	23.1	36	0	0	2	6	272
2378	1012	22.9	38	0	0	2	6.3	346
2379	1012	22.8	40	0	0	2	7.1	198
2380	1012	22.8	40	0	0	2	6.8	252
2381	1012	22.7	42	0	0	3	5.7	186
2382	1012	22.8	42	0	4	3	5.7	21
2383	1012	24.1	42	73	94	3	6	306
2384	1012	25.7	42	317	79	0	5	347
2385	1011	27.5	37	517	108	0	5.4	32
2386	1011	29.2	32	689	120	0	5.4	341
2387	1011	30.6	28	786	146	0	7.9	29
2388	1011	31.8	27	827	160	0	7.9	342
2389	1011	32.6	24	803	164	0	8.7	332
2390	1011	33.1	24	724	152	0	10.8	2
2391	1011	33.2	24	598	125	0	9.8	340
2392	1011	32.8	25	411	107	0	8.7	4
2393	1011	32	27	202	83	0	9.4	11
2394	1011	30.9	29	44	37	0	9.4	343
2395	1011	29.8	35	0	0	0	12	351
2396	1012	29.1	39	0	0	1	10.8	326
2397	1012	28.3	43	0	0	1	8.3	353
2398	1012	27.6	47	0	0	1	8.7	313
2399	1012	26.9	49	0	0	1	8.5	321
2400	1012	26.2	53	0	0	2	8.3	335
2401	1012	25.5	52	0	0	2	7.5	340
2402	1012	24.7	61	0	0	2	7.1	357
2403	1012	24.3	65	0	0	2	5.7	357
2404	1012	23.9	71	0	0	3	7.1	11
2405	1012	23.6	73	0	0	3	5.7	6
2406	1012	23.6	73	0	4	3	6	347
2407	1012	24.9	66	79	95	3	5.7	35
2408	1012	26.6	61	342	70	0	5	270
2409	1012	28.4	51	564	78	0	5	291
2410	1012	30.1	42	722	104	0	4.4	35
2411	1012	31.5	37	821	128	0	5.2	286
2412	1012	32.6	34	864	140	0	6.3	311
2413	1012	33.4	31	834	147	0	6.6	72
2414	1012	33.8	31	759	133	0	5.2	342
2415	1012	33.9	31	621	113	0	4.8	7
2416	1012	33.4	30	431	97	0	4	23
2417	1012	32.5	32	216	76	0	3.9	313
2418	1012	31.3	34	47	37	0	4	354
2419	1012	30	37	0	0	0	3.7	12
2420	1012	28.8	43	0	0	1	3.9	341
2421	1012	27.6	44	0	0	1	3.6	6
2422	1012	26.4	50	0	0	1	3.4	34
2423	1012	25.2	51	0	0	1	3.4	346
2424	1012	24	57	0	0	2	3.1	336
2425	1012	23.2	60	0	0	2	2.9	28
2426	1012	22.5	64	0	0	2	3.1	25
2427	1012	22	63	0	0	2	4.6	12
2428	1012	21.6	63	0	0	3	5.7	16
2429	1012	21.3	65	0	0	3	4.4	347
2430	1012	21.4	61	0	5	3	4.6	340
2431	1012	22.6	57	84	95	3	5.7	12
2432	1012	24.2	52	342	71	0	5	5
2433	1012	25.8	46	559	82	0	6.3	6
2434	1012	27.3	38	723	105	0	7.9	337
2435	1012	28.5	35	820	130	0	8.3	6
2436	1012	29.6	31	866	140	0	8.5	323
2437	1012	30.3	31	851	138	0	9.4	7
2438	1012	30.7	30	771	127	0	9.8	315
2439	1012	30.8	29	639	104	0	10.2	166
2440	1012	30.4	27	443	92	0	10.5	8
2441	1012	29.7	28	232	69	0	9	333
2442	1012	28.6	30	49	40	0	9	20
2443	1012	27.5	32	0	0	0	7.9	311
2444	1012	26.5	37	0	0	1	7.3	182
2445	1012	25.4	39	0	0	1	6.6	337
2446	1012	24.4	36	0	0	1	5.4	74
2447	1012	23.4	38	0	0	1	5.7	248
2448	1012	22.4	41	0	0	2	5.2	358
2449	1012	21.6	46	0	0	2	5	5
2450	1012	20.8	50	0	0	2	5	347
2451	1012	20.3	53	0	0	2	4.8	15
2452	1012	19.9	50	0	0	3	5.7	116
2453	1012	19.5	50	0	0	3	4.4	274
2454	1012	19.6	47	0	6	3	4.4	294
2455	1012	20.8	43	87	96	3	4.6	284
2456	1012	22.4	36	350	70	0	4.1	123
2457	1012	24	33	569	80	0	4.6	50
2458	1012	25.5	27	731	103	0	4.3	4
2459	1012	26.7	24	827	128	0	4.6	166
2460	1012	27.7	24	872	138	0	4.6	346
2461	1012	28.5	24	866	131	0	4.1	331
2462	1012	28.9	24	795	116	0	4.4	25
2463	1012	28.9	25	666	91	0	6	40
2464	1012	28.6	28	465	84	0	5.2	283
2465	1012	27.8	28	251	60	0	5.4	303
2466	1012	26.7	33	52	41	0	4.6	244
2467	1012	25.6	31	0	0	0	4	185
2468	1012	24.8	37	0	0	1	4.3	350
2469	1012	23.9	39	0	0	1	4.6	356
2470	1012	23.1	40	0	0	1	5.7	337
2471	1012	22.3	43	0	0	1	7.1	347
2472	1012	21.4	47	0	0	1	8.7	292
2473	1012	20.9	50	0	0	2	8.5	28
2474	1012	20.4	53	0	0	2	9.4	185
2475	1012	20.1	52	0	0	2	11.5	24
2476	1012	19.8	55	0	0	2	9.8	14
2477	1012	19.6	56	0	0	2	8.5	350
2478	1012	19.7	55	0	6	3	10.5	28
2479	1011	21	53	78	99	3	8.5	349
2480	1011	22.5	50	313	90	0	10.8	345
2481	1011	24.2	48	506	121	0	11.5	42
2482	1011	25.7	40	671	138	0	11.7	41
2483	1011	27	34	757	170	0	12	189
2484	1011	28.1	30	798	184	0	11.5	9
2485	1011	28.8	29	763	194	0	12.7	292
2486	1011	29.2	29	709	165	0	12.7	309
2487	1011	29.3	28	596	130	0	12.3	170
2488	1011	29	28	405	114	0	10.8	14
2489	1011	28.2	30	202	86	0	11.5	344
2490	1011	27.1	34	45	39	0	11.7	329
2491	1011	26	39	0	0	0	11.2	12
2492	1011	25.1	43	0	0	1	11.7	345
2493	1011	24.3	46	0	0	1	11.2	334
2494	1011	23.4	48	0	0	1	8.7	14
2495	1011	22.5	49	0	0	1	8.7	340
2496	1011	21.6	51	0	0	2	9.8	38
2497	1011	20.8	55	0	0	2	9.4	32
2498	1011	20.1	57	0	0	2	9.8	28
2499	1011	19.6	53	0	0	2	12.3	44
2500	1011	19.2	55	0	0	3	11.7	2
2501	1011	18.9	56	0	0	3	12.9	341
2502	1011	19	52	0	6	3	12.3	355
2503	1011	20.2	47	76	102	3	11.5	40
2504	1011	21.7	43	313	92	0	12	2
2505	1011	23.2	36	501	121	0	12.7	345
2506	1011	24.7	30	645	156	0	13.1	359
2507	1011	25.9	25	745	180	0	14	304
2508	1011	26.9	25	774	201	0	14.5	160
2509	1011	27.6	23	761	197	0	13.8	32
2510	1011	28	23	717	161	0	13.4	117
2511	1011	28.1	23	608	124	0	13.6	334
2512	1011	27.8	23	427	102	0	15.2	339
2513	1011	27	26	221	77	0	16.3	2
2514	1011	25.9	27	49	41	0	14.5	336
2515	1011	24.9	29	0	0	0	13.3	8
2516	1011	24	34	0	0	1	13.1	6
2517	1011	23.1	38	0	0	1	12.3	354
2518	1011	22.3	39	0	0	1	11.2	326
2519	1011	21.4	39	0	0	1	11.5	359
2520	1011	20.6	45	0	0	1	10.5	340
2521	1011	20	44	0	0	2	7.9	5
2522	1011	19.4	45	0	0	2	7.3	339
2523	1011	19.1	45	0	0	2	8.3	353
2524	1011	18.8	42	0	0	2	8.1	323
2525	1011	18.5	42	0	0	2	7.3	5
2526	1011	18.6	37	0	7	3	7.5	285
2527	1011	19.9	35	78	103	3	7.5	11
2528	1011	21.4	30	312	95	0	8.7	49
2529	1011	23.1	27	509	124	0	8.7	355
2530	1011	24.6	23	667	144	0	10.8	167
2531	1011	25.8	22	739	185	0	10.2	257
2532	1011	26.9	22	765	209	0	7.3	287
2533	1011	27.6	21	759	199	0	6.6	336
2534	1011	28	20	707	169	0	7.1	321
2535	1011	28.1	20	584	139	0	7.9	329
2536	1011	27.7	23	412	111	0	7.7	319
2537	1011	27	23	212	83	0	7.5	304
2538	1011	25.9	26	45	43	0	7.5	324
2539	1011	24.8	30	0	0	0	7.1	296
2540	1011	23.9	33	0	0	1	6	273
2541	1011	23.1	36	0	0	1	5.7	310
2542	1011	22.2	41	0	0	1	7.1	323
2543	1011	21.4	42	0	0	1	5.7	314
2544	1011	20.5	48	0	0	2	5.4	327
2545	1011	19.9	48	0	0	2	5	303
2546	1011	19.2	48	0	0	2	4.6	290
2547	1011	18.9	51	0	0	2	6.3	289
2548	1011	18.5	53	0	0	2	5.4	296
2549	1011	18.2	56	0	0	3	4.6	274
2550	1011	18.3	57	0	8	3	4.4	284
2551	1011	19.6	55	83	102	3	3.7	258
2552	1011	21.2	49	324	90	0	3.4	261
2553	1011	22.8	48	515	122	0	3.4	268
2554	1011	24.3	40	679	138	0	2.9	48
2555	1011	25.5	35	772	166	0	3.4	356
2556	1011	26.6	30	817	176	0	3.3	178
2557	1011	27.3	29	788	181	0	3.3	20
2558	1011	27.7	28	734	153	0	3.9	310
2559	1011	27.8	29	610	124	0	3.6	43
2560	1011	27.4	30	428	103	0	3.6	353
2561	1011	26.7	30	224	78	0	3.4	348
2562	1011	25.6	33	51	42	0	3.4	318
2563	1011	24.5	37	0	0	0	2.9	336
2564	1011	23.6	43	0	0	1	3.4	18
2565	1011	22.7	46	0	0	1	2.9	347
2566	1011	21.8	49	0	0	1	3.4	337
2567	1011	21	51	0	0	1	2	339
2568	1011	20.1	50	0	0	2	1.1	4
2569	1011	19.4	55	0	0	2	1.3	7
2570	1011	18.7	53	0	0	2	2	347
2571	1011	18.4	51	0	0	2	1.6	340
2572	1011	18	56	0	0	2	2.1	12
2573	1011	17.8	59	0	0	3	2	31
2574	1011	17.8	58	0	8	3	2	3
2575	1011	19.2	52	85	103	3	1.1	339
2576	1011	20.7	48	334	87	0	0.6	299
2577	1011	22.3	44	526	113	0	2.4	266
2578	1011	23.8	39	685	136	0	2.8	187
2579	1011	25.1	36	768	170	0	3.3	2
2580	1011	26.1	31	797	190	0	3.9	82
2581	1011	26.8	31	785	184	0	4.4	270
2582	1011	27.2	30	738	151	0	4.4	301
2583	1011	27.3	30	607	127	0	3.9	315
2584	1011	27	32	432	102	0	3.7	325
2585	1011	26.2	34	227	77	0	3.3	316
2586	1011	25.1	38	52	42	0	3.4	304
2587	1011	24	43	0	0	0	3.3	305
2588	1011	23.1	47	0	0	1	2	282
2589	1011	22.3	47	0	0	1	2	295
2590	1011	21.4	49	0	0	1	2	282
2591	1011	20.5	53	0	0	1	1.4	74
2592	1011	19.6	55	0	0	2	1.3	78
2593	1011	19	57	0	0	2	0.6	335
2594	1011	18.4	54	0	0	2	0.3	3
2595	1011	18	54	0	0	2	1.1	16
2596	1011	17.6	53	0	0	2	1.6	40
2597	1011	17.4	56	0	0	3	0.9	330
2598	1011	17.5	53	0	8	3	2.1	324
2599	1011	18.8	53	79	109	3	1.6	292
2600	1011	20.3	46	315	99	0	2	327
2601	1011	21.9	43	500	135	0	3.1	332
2602	1011	23.4	35	650	160	0	3.4	302
2603	1011	24.7	30	744	187	0	3.6	297
2604	1011	25.7	28	776	205	0	4	283
2605	1011	26.4	26	793	180	0	4.3	5
2606	1011	26.8	25	741	151	0	5.7	6
2607	1011	26.9	25	612	125	0	6.3	343
2608	1011	26.6	26	430	104	0	5.4	327
2609	1011	25.8	28	221	82	0	6.3	329
2610	1011	24.7	31	47	48	0	5.7	3
2611	1011	23.6	35	0	0	0	5	328
2612	1011	22.8	43	0	0	1	3.6	6
2613	1011	22	43	0	0	1	2.9	351
2614	1011	21.2	43	0	0	1	2.7	38
2615	1011	20.4	44	0	0	1	2.1	333
2616	1011	19.6	48	0	0	1	2.4	332
2617	1011	19.1	47	0	0	1	2.3	340
2618	1011	18.5	47	0	0	2	1.4	351
2619	1011	18.2	48	0	0	2	2.5	335
2620	1011	17.9	48	0	0	2	1.4	321
2621	1011	17.7	53	0	0	2	0.9	352
2622	1011	17.8	56	0	9	2	1.6	2
2623	1011	19.2	50	93	105	3	1.3	19
2624	1011	20.9	46	344	85	0	1.6	314
2625	1011	22.5	40	541	108	0	2.5	353
2626	1011	24	33	688	138	0	2.8	343
2627	1011	25.4	30	779	166	0	3.4	36
2628	1011	26.4	28	803	189	0	4.6	256
2629	1011	27.1	26	810	170	0	5.7	146
2630	1011	27.5	26	747	147	0	5.4	300
2631	1011	27.6	25	620	121	0	6	302
2632	1011	27.3	27	440	99	0	6.6	296
2633	1011	26.5	28	233	75	0	4.6	287
2634	1011	25.4	30	53	43	0	4	290
2635	1011	24.2	34	0	0	0	4.3	192
2636	1011	23.4	39	0	0	1	3.9	346
2637	1011	22.6	42	0	0	1	4.1	349
2638	1011	21.8	45	0	0	1	4.3	311
2639	1011	21	46	0	0	1	4.8	52
2640	1011	20.2	45	0	0	2	5.4	191
2641	1011	19.6	49	0	0	2	5.7	184
2642	1011	19	53	0	0	2	5	286
2643	1011	18.7	52	0	0	2	6.8	161
2644	1011	18.3	54	0	0	3	5.7	33
2645	1011	18.1	57	0	0	3	5	72
2646	1011	18.2	53	0	9	3	5.7	39
2647	1011	19.5	47	75	113	3	5.7	352
2648	1011	21	46	292	117	0	6	20
2649	1011	22.6	44	480	150	0	4.8	335
2650	1011	24.1	38	609	189	0	6.3	15
2651	1011	25.4	34	723	203	0	7.7	0
2652	1011	26.4	31	731	238	0	6.6	331
2653	1011	27.1	32	750	210	0	6	11
2654	1011	27.5	30	703	176	0	5.2	3
2655	1011	27.6	30	611	127	0	6.6	2
2656	1011	27.3	30	435	103	0	7.1	8
2657	1011	26.5	31	218	92	0	7.7	303
2658	1011	25.4	35	46	52	0	8.1	359
2659	1011	24.3	37	0	0	0	7.9	357
2660	1011	23.6	42	0	0	1	7.7	350
2661	1011	22.9	44	0	0	1	6.6	343
2662	1011	22.1	47	0	0	1	6	347
2663	1011	21.4	50	0	0	1	5.4	355
2664	1011	20.7	54	0	0	1	5.7	324
2665	1011	20.2	54	0	0	2	4.6	300
2666	1011	19.7	55	0	0	2	4.3	358
2667	1011	19.5	56	0	0	2	5.7	42
2668	1011	19.2	57	0	0	2	6.8	0
2669	1011	19	56	0	0	2	5.2	8
2670	1011	19.2	61	0	11	3	5	352
2671	1011	20.6	55	82	113	3	4.6	7
2672	1011	22.2	48	315	105	0	5.7	61
2673	1011	23.9	44	493	144	0	4.8	17
2674	1011	25.4	36	659	159	0	5.2	26
2675	1011	26.7	32	765	177	0	6.3	349
2676	1011	27.8	31	793	198	0	6.8	344
2677	1011	28.5	28	767	199	0	6.8	71
2678	1011	28.9	27	709	173	0	6.8	29
2679	1011	29	26	586	143	0	6.6	287
2680	1011	28.7	26	421	111	0	7.1	293
2681	1011	27.9	26	214	90	0	6.8	287
2682	1011	26.8	28	45	53	0	6	276
2683	1011	25.7	31	0	0	0	5.7	161
2684	1011	24.8	35	0	0	1	5.4	12
2685	1011	24	37	0	0	1	5.2	86
2686	1011	23.1	39	0	0	1	4.6	12
2687	1011	22.2	41	0	0	1	4.1	243
2688	1011	21.4	43	0	0	2	3.1	251
2689	1011	20.7	47	0	0	2	2.7	282
2690	1011	19.9	45	0	0	2	2.4	261
2691	1011	19.5	45	0	0	2	2.7	305
2692	1011	19.1	46	0	0	2	3.9	324
2693	1011	18.8	48	0	0	3	3.9	309
2694	1011	18.9	43	0	11	3	4.4	320
2695	1011	20.3	41	80	115	3	5.4	311
2696	1011	21.8	37	307	111	0	7.3	301
2697	1011	23.3	32	478	155	0	7.9	291
2698	1011	24.8	28	627	181	0	9.4	322
2699	1011	26	26	714	211	0	10.2	319
2700	1011	27	25	746	230	0	10.2	325
2701	1011	27.6	26	739	219	0	10.2	335
2702	1011	28	24	678	193	0	9.8	286
2703	1011	28.1	25	570	154	0	12	21
2704	1011	27.7	28	402	123	0	10.5	276
2705	1011	26.9	32	213	87	0	10.5	167
2706	1011	25.9	35	47	50	0	9.4	5
2707	1011	24.8	36	0	0	0	9.4	326
2708	1011	24	44	0	0	1	8.7	354
2709	1011	23.2	46	0	0	1	9.4	5
2710	1011	22.4	50	0	0	1	9.8	39
2711	1011	21.6	49	0	0	1	9	15
2712	1011	20.8	49	0	0	2	7.9	341
2713	1011	20.3	47	0	0	2	7.5	356
2714	1011	19.7	48	0	0	2	7.5	317
2715	1011	19.4	52	0	0	2	8.5	10
2716	1011	19.1	54	0	0	2	7.9	336
2717	1011	18.9	60	0	0	3	6	333
2718	1011	19	61	0	12	3	5.2	8
2719	1011	20.4	53	83	116	3	6.3	16
2720	1011	22	49	315	109	0	5	342
2721	1011	23.6	42	488	151	0	6.6	323
2722	1011	25.1	37	637	176	0	5.2	347
2723	1011	26.4	35	721	208	0	6	2
2724	1011	27.4	30	753	227	0	7.1	355
2725	1011	28.1	29	746	215	0	7.9	6
2726	1011	28.5	29	685	190	0	8.5	353
2727	1011	28.5	29	573	153	0	9	327
2728	1011	28.2	28	405	122	0	8.7	6
2729	1011	27.4	29	213	89	0	9	333
2730	1011	26.3	31	49	49	0	9.4	357
2731	1011	25.1	32	0	0	0	8.3	343
2732	1011	24.6	34	0	0	1	6.8	345
2733	1011	24	35	0	0	1	5.7	4
2734	1011	23.4	35	0	0	1	6	30
2735	1011	22.8	38	0	0	1	6.8	6
2736	1011	22.2	36	0	0	2	7.7	21
2737	1011	21.9	39	0	0	2	7.1	358
2738	1011	21.5	42	0	0	2	5.7	334
2739	1011	21.4	43	0	0	2	6.6	12
2740	1011	21.2	44	0	0	2	5.7	333
2741	1011	21.1	44	0	0	3	5	338
2742	1011	21.3	41	0	13	3	4.8	344
2743	1011	22.8	35	102	111	3	5.7	21
2744	1011	24.6	33	355	88	0	6.6	11
2745	1011	26.3	31	556	107	0	6.3	3
2746	1012	27.9	26	704	135	0	6.6	336
2747	1012	29.3	24	798	160	0	7.5	337
2748	1012	30.4	21	831	177	0	7.7	25
2749	1012	31.2	21	819	169	0	7.7	331
2750	1012	31.6	22	751	149	0	7.7	360
2751	1012	31.7	21	629	120	0	6.3	175
2752	1012	31.4	22	446	100	0	5.4	174
2753	1012	30.6	25	242	74	0	5.4	292
2754	1011	29.4	28	61	43	0	5.7	51
2755	1011	28.3	29	0	0	0	6.8	10
2756	1011	27.3	33	0	0	1	5.4	338
2757	1011	26.4	34	0	0	1	4.6	338
2758	1011	25.5	36	0	0	1	4.6	339
2759	1011	24.6	38	0	0	1	3.6	307
2760	1011	23.7	41	0	0	2	4.3	346
2761	1011	22.9	39	0	0	2	6.6	350
2762	1011	22	45	0	0	2	6.6	1
2763	1011	21.5	46	0	0	2	7.1	7
2764	1011	21.1	48	0	0	3	7.5	346
2765	1011	20.7	48	0	0	3	6.6	327
2766	1011	20.8	53	0	13	3	5.7	7
2767	1011	22.2	49	88	119	3	6.3	317
2768	1011	23.7	48	327	105	0	7.3	334
2769	1011	25.3	44	513	139	0	7.7	7
2770	1011	26.7	37	680	152	0	8.3	1
2771	1011	27.9	34	759	185	0	9.4	333
2772	1011	28.8	32	806	193	0	9.4	347
2773	1011	29.5	31	805	179	0	9.8	4
2774	1011	29.9	28	760	144	0	9	355
2775	1011	29.9	28	649	109	0	9	352
2776	1011	29.6	30	452	101	0	10.2	359
2777	1011	28.8	32	230	89	0	11.2	340
2778	1011	27.7	35	53	53	0	10.8	331
2779	1011	26.6	39	0	0	0	9.8	3
2780	1011	25.9	43	0	0	1	9.4	333
2781	1011	25.2	44	0	0	1	9	14
2782	1011	24.6	42	0	0	1	8.7	5
2783	1011	23.9	47	0	0	1	9	16
2784	1011	23.2	51	0	0	2	8.5	323
2785	1011	23	49	0	0	2	9	360
2786	1011	22.7	52	0	0	2	8.3	346
2787	1011	22.6	51	0	0	2	7.9	8
2788	1011	22.4	49	0	0	3	8.3	15
2789	1011	22.3	50	0	0	3	6.8	358
2790	1011	22.6	47	0	14	3	6.3	20
